NOMBRE|CORREO
Alcaldia Municipal de Sensuntepeque|astrid.castro@sensuntepeque.gob.sv; ayasema80@hotmail.com
Alcaldia Municipal de Jutiapa|jutiapa.oir@gmail.com
Alcaldia Municipal de San Isidro|transparencia@sanisidro.gob.sv
Alcaldia Municipal de Cinquera|alcaldia.cinquera@gmail.com; cinquera.alcaldia@gmail.com
Alcaldia Municipal de Dolores|alcaldia.dolores@hotmail.com
Alcaldía Municiapal de Sensuntepeque|ayasema80@hotmail.com
Alcaldia Municipal de Guacotecti|alcguacotecti@hotmail.com
Alcaldia Municipal de Ilobasco|uaip@alcaldiailobasco.gob.sv 
Alcaldia Municipal de Tejutepeque|oficialtejutepeque@hotmail.com; alcaldiatejutepeque@gmail.com; escobar.lisseth@yahoo.com 
Alcaldia Municipal de Victoria|alcaldiamunicipaldevictoria@gmail.com; uaipalcaldiavictoria@gmail.com
