NOMBRE|CORREO
Alcaldia Municipal de San Francisco Chinameca|alcaldiamunicipalchinameca_uaci@hotmail.com; lupitaarevalo1965@hotmail.com
Alcaldia Municipal Paraiso de Osorio|uaciparaisodeosorio@yahoo.com; contabilidadparaiso2015@yahoo.com
Alcaldia Municipal de San Juan Tepezontes|titole0401@hotmail.com; alcaldiamunicipalsjt@outlook.com
Alcaldia Municipal de San Juan Nonualco|municipalguillermo_sanjuannonualco@hotmail.com
Alcaldia Municipal de Olocuilta|uaip@olocuilta.gob.sv
Alcaldia Municipal de Tapalhuaca|alcaldia.mpal.tapalhuaca@gmail.com
Alcaldia Municipal de Santiago Nonualco|uaip-amsn@hotmail.com; dacastroromero@hotmail.com 
Alcaldia Municipal de San Juan Talpa|alcaldiamunicipalsanjuantalpa@gmail.com; uacisanjuantalpa@gmail.com
Alcaldia Municipal de San Antonio Masahuat|sanantoniomasahuat@hotmail.com; uaip.sammk@outlook.es
Alcaldia Municipal de San Rafael Obrajuelo|alcaldia@sanrafaelobrajuelo.gob.sv
Alcaldia Municipal de San Pedro Masahuat|geomolina@gmail.com
Alcaldia Municipal de Cuyultitán|oir_alcaldia_cuyultitan@hotmail.com
Alcaldia Municipal de Santa Maria Ostuma|alcaldiaostuma@yahoo.com
Alcaldia Municipal de San Luis La Herradura|oficial.informacion_slh@yahoo.com 
Alcaldia Municipal Mercedes la Ceiba|alcaldia_mercedeslaceiba@hotmail.com 
Alcaldia Municipal de San Luis Talpa|uaip_alcaldiasanluistalpa@outlook.com
Alcaldia Municipal de El Rosario|uaip@elrosariolapaz.gob.sv; alcaldia@elrosariolapaz.gob.sv
Alcaldia Municipal de Zacatecoluca|alcaldiadezacatecoluca@gmail.com; admzacatecoluca@gmail.com
Alcaldia Municipal de Jerusalén|lerg64@yahoo.com.mx
Alcaldia Municipal de San Emigdio|alcaldiasanemigdio@gmail.com
Alcaldia Municipal de San Miguel Tepezontes|alcaldiasmtepezontes@gmail.com; secretariamunicipalsmt@gmail.com; uaip.sanmigueltepezontes@gmail.com
Alcaldia Municipal de San Pedro Nonualco|secretariaspn16@gmail.com
