NOMBRE|CORREO
Alcaldia Municipal de Masahuat |alcaldiademasahuat@yahoo.es
Acaldia Municipal de Santa Ana|transparencia@santaana.gob.sv; saulalfredo11@hotmail.com
Alcaldia Municipal de Metapan|alcaldiademetapan@gmail.com; licfranuaip@gmail.com
Alcaldia Municipal de Candelaria de la Frontera|alc_candelariadelafrontera@yahoo.com; uaci.alc_candelarialafrontera@yahoo.com; alcaldiacandelariadelafrontera@gmail.com
Alcaldia Municipal de Coatepeque|alcaldia.coatepeque@gmail.com
Alcaldia Municipal de Chalchuapa|transparenciachalchuapa@gmail.com
Alcaldia Municipal de El Congo|alcaldiamunicipalecongo@yahoo.es
Alcaldia Municipal de El Porvenir|amelporvenir@turbonett.com
Alcaldia Municipal de San Antonio Pajonal|alcaldiadepajonal@hotmail.com; secretaria_alcaldiadepajonal@hotmail.com
Alcaldia Municipal de San Sebastian Salitrillo|secretariamunicipalsss_@hotmail.com
Alcaldia Municipal de Santa Rosa Guachipilin|municipalidad@guachipilin.gob.sv
Alcaldia Municipal de Santiago de la Frontera|santiagodelafrontera@yahoo.com
Alcaldia Municipal de Texistepeque|alcaldia.texis@gmail.com; oscarsandoval263@hotmail.com
